pitch_type,player_name,pitcher,batter,events,description,des,game_year,pitch_name
CU,"Walker, Taijuan",592836,670541,No event,called_strike,Yordan Alvarez homers (26) on a fly ball to left field. Jose Altuve scores.,2024,Curveball
SI,"Walker, Taijuan",592836,514888,force_out,hit_into_play,"Jose Altuve grounds into a force out, second baseman Bryson Stott to shortstop Trea Turner. Mauricio Dubón out at 2nd. Jose Altuve to 1st.",2024,Sinker
SI,"Walker, Taijuan",592836,514888,No event,ball,"Jose Altuve grounds into a force out, second baseman Bryson Stott to shortstop Trea Turner. Mauricio Dubón out at 2nd. Jose Altuve to 1st.",2024,Sinker
CU,"Walker, Taijuan",592836,514888,No event,ball,"Jose Altuve grounds into a force out, second baseman Bryson Stott to shortstop Trea Turner. Mauricio Dubón out at 2nd. Jose Altuve to 1st.",2024,Curveball
CU,"Walker, Taijuan",592836,514888,No event,blocked_ball,"Jose Altuve grounds into a force out, second baseman Bryson Stott to shortstop Trea Turner. Mauricio Dubón out at 2nd. Jose Altuve to 1st.",2024,Curveball
FF,"Walker, Taijuan",592836,643289,single,hit_into_play,"Mauricio Dubón singles on a ground ball to center fielder Brandon Marsh, deflected by second baseman Bryson Stott. Jake Meyers scores.",2024,4-Seam Fastball
CU,"Walker, Taijuan",592836,643289,No event,foul,"Mauricio Dubón singles on a ground ball to center fielder Brandon Marsh, deflected by second baseman Bryson Stott. Jake Meyers scores.",2024,Curveball
SI,"Walker, Taijuan",592836,643289,No event,foul,"Mauricio Dubón singles on a ground ball to center fielder Brandon Marsh, deflected by second baseman Bryson Stott. Jake Meyers scores.",2024,Sinker
ST,"Walker, Taijuan",592836,643289,No event,foul,"Mauricio Dubón singles on a ground ball to center fielder Brandon Marsh, deflected by second baseman Bryson Stott. Jake Meyers scores.",2024,Sweeper
ST,"Walker, Taijuan",592836,701305,field_out,hit_into_play,Zach Dezenzo flies out to center fielder Brandon Marsh.,2024,Sweeper
FS,"Walker, Taijuan",592836,676694,double,hit_into_play,Jake Meyers doubles (18) on a line drive to left fielder Austin Hays. Victor Caratini scores. Ben Gamel scores.,2024,Split-Finger
FS,"Walker, Taijuan",592836,676694,No event,blocked_ball,Jake Meyers doubles (18) on a line drive to left fielder Austin Hays. Victor Caratini scores. Ben Gamel scores.,2024,Split-Finger
ST,"Walker, Taijuan",592836,676694,No event,called_strike,Jake Meyers doubles (18) on a line drive to left fielder Austin Hays. Victor Caratini scores. Ben Gamel scores.,2024,Sweeper
SI,"Walker, Taijuan",592836,676694,No event,foul,Jake Meyers doubles (18) on a line drive to left fielder Austin Hays. Victor Caratini scores. Ben Gamel scores.,2024,Sinker
SI,"Walker, Taijuan",592836,676694,No event,ball,Jake Meyers doubles (18) on a line drive to left fielder Austin Hays. Victor Caratini scores. Ben Gamel scores.,2024,Sinker
FS,"Walker, Taijuan",592836,592325,double,hit_into_play,"Umpire reviewed (home run), call on the field was overturned: Ben Gamel doubles (3) to right field, on fan interference. Victor Caratini to 3rd.",2024,Split-Finger
ST,"Walker, Taijuan",592836,605170,single,hit_into_play,Victor Caratini singles on a line drive to center fielder Brandon Marsh.,2024,Sweeper
ST,"Walker, Taijuan",592836,605170,No event,ball,Victor Caratini singles on a line drive to center fielder Brandon Marsh.,2024,Sweeper
FS,"Walker, Taijuan",592836,605170,No event,called_strike,Victor Caratini singles on a line drive to center fielder Brandon Marsh.,2024,Split-Finger
SI,"Walker, Taijuan",592836,665161,force_out,hit_into_play,"Jeremy Peña grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott. Alex Bregman out at 2nd.",2024,Sinker
ST,"Walker, Taijuan",592836,665161,No event,foul,"Jeremy Peña grounds into a force out, shortstop Trea Turner to second baseman Bryson Stott. Alex Bregman out at 2nd.",2024,Sweeper
FS,"Walker, Taijuan",592836,608324,single,hit_into_play,Alex Bregman singles on a ground ball to left fielder Austin Hays. Yordan Alvarez to 2nd.,2024,Split-Finger
ST,"Walker, Taijuan",592836,608324,No event,foul,Alex Bregman singles on a ground ball to left fielder Austin Hays. Yordan Alvarez to 2nd.,2024,Sweeper
FS,"Walker, Taijuan",592836,608324,No event,blocked_ball,Alex Bregman singles on a ground ball to left fielder Austin Hays. Yordan Alvarez to 2nd.,2024,Split-Finger
FS,"Walker, Taijuan",592836,608324,No event,ball,Alex Bregman singles on a ground ball to left fielder Austin Hays. Yordan Alvarez to 2nd.,2024,Split-Finger
ST,"Walker, Taijuan",592836,608324,No event,ball,Alex Bregman singles on a ground ball to left fielder Austin Hays. Yordan Alvarez to 2nd.,2024,Sweeper
CU,"Walker, Taijuan",592836,608324,No event,called_strike,Alex Bregman singles on a ground ball to left fielder Austin Hays. Yordan Alvarez to 2nd.,2024,Curveball
SI,"Walker, Taijuan",592836,670541,single,hit_into_play,Yordan Alvarez singles on a line drive to center fielder Brandon Marsh.,2024,Sinker
CU,"Walker, Taijuan",592836,670541,No event,called_strike,Yordan Alvarez singles on a line drive to center fielder Brandon Marsh.,2024,Curveball
ST,"Walker, Taijuan",592836,670541,No event,ball,Yordan Alvarez singles on a line drive to center fielder Brandon Marsh.,2024,Sweeper
